"","variable","value"
"789","diff2",0.094
"790","diff2",0.096
"791","diff2",0.078
"792","diff2",0.088
"793","diff2",0.085
"794","diff2",0.046
"795","diff2",0.109
"796","diff2",0.08
"797","diff2",0.109
"798","diff2",0.111
"799","diff2",0.076
"800","diff2",0.099
"801","diff2",0.058
"802","diff2",0.064
"803","diff2",0.069
"804","diff2",0.098
"805","diff2",0.09
"806","diff2",0.086
"807","diff2",0.063
"808","diff2",0.058
"809","diff2",0.068
"810","diff2",0.102
"811","diff2",0.077
"812","diff2",0.059
"813","diff2",0.066
"814","diff2",0.025
"815","diff2",0.081
"816","diff2",0.041
"817","diff2",0.079
"818","diff2",0.116
"819","diff2",0.074
"820","diff2",0.09
"821","diff2",0.099
"822","diff2",0.126
"823","diff2",0.084
"824","diff2",0.072
"825","diff2",0.062
"826","diff2",0.045
"827","diff2",0.082
"828","diff2",0.093
"829","diff2",0.105
"830","diff2",0.095
"831","diff2",0.077
"832","diff2",0.097
"833","diff2",0.112
"834","diff2",0.073
"835","diff2",0.053
"836","diff2",0.096
"837","diff2",0.103
"838","diff2",0.043
"839","diff2",0.093
"840","diff2",0.043
"841","diff2",0.0149999999999999
"842","diff2",0.043
"843","diff2",0.065
"844","diff2",0.111
"845","diff2",0.068
"846","diff2",0.083
"847","diff2",0.062
"848","diff2",0.065
"849","diff2",0.089
"850","diff2",0.058
"851","diff2",0.077
"852","diff2",0.047
"853","diff2",0.094
"854","diff2",0.044
"855","diff2",0.057
"856","diff2",0.121
"857","diff2",0.106
"858","diff2",0.077
"859","diff2",0.06
"860","diff2",0.086
"861","diff2",0.086
"862","diff2",0.067
"863","diff2",0.074
"864","diff2",0.095
"865","diff2",0.078
"866","diff2",0.08
"867","diff2",0.084
"868","diff2",0.055
"869","diff2",0.057
"870","diff2",0.07
"871","diff2",0.06
"872","diff2",0.087
"873","diff2",0.084
"874","diff2",0.039
"875","diff2",0.086
"876","diff2",0.079
"877","diff2",0.098
"878","diff2",0.06
"879","diff2",0.049
"880","diff2",0.074
"881","diff2",0.088
"882","diff2",0.115
"883","diff2",0.101
"884","diff2",0.103
"885","diff2",0.054
"886","diff2",0.075
"887","diff2",0.091
"888","diff2",0.037
"889","diff2",0.086
"890","diff2",0.027
"891","diff2",0.058
"892","diff2",0.0260000000000001
"893","diff2",0.078
"894","diff2",0.09
"895","diff2",0.11
"896","diff2",0.057
"897","diff2",0.077
"898","diff2",0.115
"899","diff2",0.1
"900","diff2",0.087
"901","diff2",0.078
"902","diff2",0.104
"903","diff2",0.076
"904","diff2",0.058
"905","diff2",0.051
"906","diff2",0.078
"907","diff2",0.066
"908","diff2",0.067
"909","diff2",0.067
"910","diff2",0.107
"911","diff2",0.081
"912","diff2",0.068
"913","diff2",0.08
"914","diff2",0.063
"915","diff2",0.091
"916","diff2",0.075
"917","diff2",0.092
"918","diff2",0.059
"919","diff2",0.085
"920","diff2",0.099
"921","diff2",0.095
"922","diff2",0.092
"923","diff2",0.055
"924","diff2",0.048
"925","diff2",0.062
"926","diff2",0.04
"927","diff2",0.075
"928","diff2",0.093
"929","diff2",0.11
"930","diff2",0.071
"931","diff2",0.061
"932","diff2",0.09
"933","diff2",0.074
"934","diff2",0.071
"935","diff2",0.083
"936","diff2",0.12
"937","diff2",0.078
"938","diff2",0.092
"939","diff2",0.105
"940","diff2",0.049
"941","diff2",0.091
"942","diff2",0.059
"943","diff2",0.091
"944","diff2",0.063
"945","diff2",0.047
"946","diff2",0.042
"947","diff2",0.062
"948","diff2",0.024
"949","diff2",0.111
"950","diff2",0.115
"951","diff2",0.101
"952","diff2",0.059
"953","diff2",0.074
"954","diff2",0.063
"955","diff2",0.039
"956","diff2",0.081
"957","diff2",0.092
"958","diff2",0.059
"959","diff2",0.092
"960","diff2",0.075
"961","diff2",0.101
"962","diff2",0.041
"963","diff2",0.042
"964","diff2",0.04
"965","diff2",0.029
"966","diff2",0.061
"967","diff2",0.085
"968","diff2",0.101
"969","diff2",0.093
"970","diff2",0.051
"971","diff2",0.05
"972","diff2",0.101
"973","diff2",0.076
"974","diff2",0.074
"975","diff2",0.052
"976","diff2",0.09
"977","diff2",0.092
"978","diff2",0.057
"979","diff2",0.082
"980","diff2",0.069
"981","diff2",0.068
"982","diff2",0.088
"983","diff2",0.096
"984","diff2",0.091
"985","diff2",0.056
"986","diff2",0.039
"987","diff2",0.079
"988","diff2",0.082
"989","diff2",0.085
"990","diff2",0.088
"991","diff2",0.052
"992","diff2",0.035
"993","diff2",0.049
"994","diff2",0.061
"995","diff2",0.073
"996","diff2",0.089
"997","diff2",0.08
"998","diff2",0.062
"999","diff2",0.088
"1000","diff2",0.112
"1001","diff2",0.086
"1002","diff2",0.08
"1003","diff2",0.075
"1004","diff2",0.095
"1005","diff2",0.042
"1006","diff2",0.068
"1007","diff2",0.081
"1008","diff2",0.06
"1009","diff2",0.076
"1010","diff2",0.08
"1011","diff2",0.115
"1012","diff2",0.107
"1013","diff2",0.108
"1014","diff2",0.06
"1015","diff2",0.105
"1016","diff2",0.057
"1017","diff2",0.056
"1018","diff2",0.085
"1019","diff2",0.06
"1020","diff2",0.115
"1021","diff2",0.088
"1022","diff2",0.04
"1023","diff2",0.072
"1024","diff2",0.056
"1025","diff2",0.092
"1026","diff2",0.116
"1027","diff2",0.079
"1028","diff2",0.073
"1029","diff2",0.094
"1030","diff2",0.091
"1031","diff2",0.101
